,x,y
0,0.040273556231003,0.0620567375886516
1,0.0706686930091185,0.0868794326241122
2,0.1056231003039513,0.0992907801418425
3,0.1322188449848024,0.1241134751773067
4,0.155015197568389,0.1861702127659583
5,0.1876899696048632,0.2358156028368796
6,0.2340425531914894,0.2978723404255348
7,0.2838145896656535,0.5336879432624109
8,0.3328267477203648,1.00531914893617
9,0.3806990881458967,1.7127659574468108
10,0.4141337386018238,2.4822695035461013
11,0.4464285714285715,3.47517730496454
12,0.4684650455927052,4.406028368794328
13,0.4946808510638298,5.858156028368796
