,x,y
0,0.0399560117302053,0.0835464620630901
1,0.0700146627565981,0.1074168797954016
2,0.1048387096774193,0.0954816709292458
3,0.1312316715542521,0.1312872975277095
4,0.1546920821114369,0.2028985507246403
5,0.1876832844574779,0.2267689684569482
6,0.2331378299120233,0.2506393861892562
7,0.2969208211143694,0.322250639386187
8,0.3445747800586509,0.3222506393861941
9,0.3900293255131963,0.4893435635123673
10,0.4321847507331379,0.7399829497016235
11,0.4637096774193548,1.014492753623195
12,0.4798387096774192,1.3367433930093815
13,0.5003665689149558,1.74254049445865
