x,y
1.2692766417135768, 4.702940076012684
1.2590488568559106, 4.315787400799511
1.2492140198668231, 3.68011657903547
1.2377618175526843, 3.294145448100668
1.222203917663243, 2.515113920560843
1.2152412460228377, 2.124810460605346
1.2029849184312469, 1.9381264646225986
1.1948069441045162, 1.6978791280203218
1.1862238688823434, 1.5076504992024624
1.1768275536125716, 1.3678344262617905
1.1645742642776966, 1.230775289970662
1.1506762653073281, 0.8967921072842202
1.1433206457983442, 0.7550067938796055
1.1335192296331305, 0.6652094287233403
1.1261666483808623, 0.5730489750103374
1.115140814759176, 0.48443315413245003
1.103706841985332, 0.39621118134735767
1.0935003249246766, 0.35643252397550285
1.0861507819291243, 0.3138969299541188
1.0747168091552801, 0.22567495716902286
1.0653265703989399, 0.18510860361158876
1.0510295470465614, 0.00039384809279496835
