x,y
1.0580250120465011, 0.36695716551414037
1.0652096410302232, 0.44553545500671987
1.0735040160322176, 0.8240668349453806
1.0809678047286106, 1.0899004049539052
1.090363309708363, 1.2070498358165587
1.0983790994003875, 1.435748271207423
1.1074994654863755, 1.6275987733311226
1.115237244271131, 1.7438866001423214
1.1238044605560857, 1.898027564947391
1.1304399605576811, 2.2008526688983245
1.137351748258443, 2.5038213735245023
1.144816685760238, 2.844499615469303
1.1531070399433256, 2.9610746436309903
1.1625111609635925, 3.6395591140157446
1.1713586857666203, 4.055800031273035
1.1826910766540404, 4.361066346703087
1.1923680389572677, 4.815160401954246
1.1995543911490927, 5.006005699351242
1.2070239238724954, 5.646062629041161
1.2147685954896623, 6.211418487470043
1.2208503712875236, 6.43911171813421
1.2280459139225641, 7.228714391021446
1.2363408633272597, 7.644668106928252
1.243256097444227, 8.172170827363267
1.2523856539734308, 8.962778704977199
1.260405464484362, 9.453433492145042
1.2667681232029973, 9.98064901122957
1.2739659634488416, 10.919941027989365
1.2822678056859487, 11.784962775513849
1.2919510864188863, 12.650702526414545
