,x,y
0,0.3796692199923582,0.766446906631506
1,0.3923254671494332,1.008116629662295
2,0.4041738687432907,1.2741960450350032
3,0.4175033205363803,1.6800627851736802
4,0.43083277232947,2.093754819364408
5,0.4382380233256309,2.424242424242424
6,0.4619348265133459,3.0551527118547384
7,0.4723021779079711,3.671337983777713
8,0.4824579507027061,4.235856250100637
9,0.4974800312949182,5.067473355959374
10,0.5048852822910792,5.35625734314259
11,0.4927857935627081,4.336134453781513
12,0.3635960044395116,0.4766997708174116
