,x,y
0,0.040273556231003,0.0620567375886551
1,0.0699088145896656,0.0992907801418425
2,0.1056231003039513,0.0992907801418425
3,0.1314589665653495,0.136524822695037
4,0.1550151975683891,0.1985815602836886
5,0.1873100303951368,0.2606382978723403
6,0.2340425531914894,0.3723404255319167
7,0.2515197568389058,0.6453900709219873
8,0.3054711246200609,1.340425531914894
9,0.3335866261398177,1.8617021276595749
10,0.3624620060790273,2.631205673758867
11,0.3882978723404255,3.537234042553191
12,0.4095744680851064,4.617021276595747
13,0.4293313069908815,5.858156028368796
14,0.446048632218845,7.173758865248228
15,0.4642857142857144,9.258865248226952
16,0.4772036474164134,10.500000000000002
17,0.4908814589665654,12.088652482269506
