x,y
1.057127506283161, 0.3270594805920126
1.0669151633621894, 0.5294610444010033
1.077517118123429, 0.7815693940240145
1.0905659871544262, 1.0842781345992698
1.0995373359396816, 1.2862328958391487
1.108102541189612, 1.4387042725495647
1.1162535604579726, 1.7387321977101315
1.125220888020106, 2.0392069254398173
1.1350005026528902, 2.438648422228429
1.144371963138788, 2.8378665177324756
1.1557681094666294, 3.6322814856185417
1.1631068416643395, 3.8333426417201864
1.1700333984920412, 4.132700363027084
1.1797969282323373, 4.926221725774919
1.1863012566322257, 5.570175928511588
1.1936319463836917, 5.968277017592852
1.200144317229824, 6.415191287349902
1.205014018430606, 7.1075118681932405
1.2094815973191846, 7.651829098017311
1.213543032672438, 8.146662943311922
1.2180166433956996, 8.543200223401282
1.2253191845853113, 9.630941077911196
1.232223624685842, 10.472158614912034
1.2370852834403798, 11.36151912873499
1.243591622451829, 11.95621334822675
1.2456062552359677, 12.597710136833285
1.2504799776598716, 13.19151075118682
1.2529027645908966, 13.833230941077911
1.2581705668807597, 14.772074839430328
1.2666734431722984, 16.451605696732756
