x,y,location,strain,specimen
1.0578935447338618,0.7377525743084412,septum,ff,1
1.064824462061155,1.0306602408841776,septum,ff,1
1.0733861834654588,1.3237883459672126,septum,ff,1
1.0819479048697622,1.5195928500770144,septum,ff,1
1.0884711211778029,1.8611072075125428,septum,ff,1
1.0966251415628538,2.2028420034553733,septum,ff,1
1.1035560588901472,2.447087869544489,septum,ff,1
1.112525481313703,2.7889328847409693,septum,ff,1
1.1194563986409969,3.130502351803326,septum,ff,1
1.1284258210645528,3.569670967973039,septum,ff,1
1.136172140430351,4.008674255262282,septum,ff,1
1.1431030577576444,4.4962291237844845,septum,ff,1
1.150849377123443,4.983894211560347,septum,ff,1
1.1585956964892412,5.422897498849585,septum,ff,1
1.165934314835787,6.007831077971856,septum,ff,1
1.1728652321630804,6.641371347953916,septum,ff,1
1.1806115515288789,7.2750218371896285,septum,ff,1
1.1863193657984146,8.005720379264451,septum,ff,1
1.1928425821064552,8.63920553961969,septum,ff,1
1.1969195922989808,9.17503644124074,septum,ff,1
1.2054813137032845,10.100767952649807,septum,ff,1
1.2103737259343148,10.782694474984362,septum,ff,1
1.2168969422423557,11.708150438259308,septum,ff,1
1.2242355605889017,12.779702022247756,septum,ff,1
1.229127972819932,13.558952145555548,septum,ff,1
1.2348357870894675,14.581621490550075,septum,ff,1
1.240135900339751,15.409588523971312,septum,ff,1
1.243805209513024,16.237335118885245,septum,ff,1
1.2503284258210647,17.35743828410666,septum,ff,1
1.2597055492638731,18.47792721671585,septum,ff,1
1.286613816534541,8.55455715281624,septum,ff,2
1.2768289920724802,7.725983913499929,septum,ff,2
1.2650056625141564,6.945796926536112,septum,ff,2
1.2560362400906002,6.214657507446688,septum,ff,2
1.2462514156285391,5.483407869103614,septum,ff,2
1.2360588901472254,4.800764921620331,septum,ff,2
1.2254586636466591,4.264052265970079,septum,ff,2
1.2160815402038505,3.7761667396869214,septum,ff,2
1.2050736126840318,3.4827079768429314,septum,ff,2
1.1981426953567385,2.995153108320725,septum,ff,2
1.1883578708946771,2.7018596743572125,septum,ff,2
1.1789807474518683,2.2139741480740547,septum,ff,2
1.165934314835787,1.9202398370959413,septum,ff,2
1.1553340883352208,1.6268361838787797,septum,ff,2
1.142695356738392,1.235833381554258,septum,ff,2
1.1320951302378257,1.1370769302835662,septum,ff,2
1.121902604756512,1.0383755886397026,septum,ff,2
1.1104869762174403,0.7935235166555046,septum,ff,2
1.0990713476783691,0.5973332451579303,septum,ff,2
1.0888788221970556,0.4499701030274501,septum,ff,2
1.0807248018120046,0.3028825090310896,septum,ff,2
1.0721630804077011,0.3017252068677614,septum,ff,2
1.0640090600226502,0.2519612138446376,septum,ff,2
1.0570781426953568,0.251024350188608,septum,ff,2
1.0580445051254666,0.7294568436815254,sub-epi,ff,1
1.0653221171315004,1.1743979916539082,sub-epi,ff,1
1.0730298058818994,1.3270058686867543,sub-epi,ff,1
1.0815421543475627,1.577828916219815,sub-epi,ff,1
1.0953204655310995,2.028055185474724,sub-epi,ff,1
1.1013950518051991,2.276896312526837,sub-epi,ff,1
1.1099074002708624,2.527719360059894,sub-epi,ff,1
1.1179975996740843,2.9733211481925963,sub-epi,ff,1
1.126083835236344,3.467700201495248,sub-epi,ff,1
1.1337756686228957,3.815417139207888,sub-epi,ff,1
1.141877759549003,4.114687131830742,sub-epi,ff,1
1.1487332224925957,4.75440702040277,sub-epi,ff,1
1.1568036026910076,5.443895134385217,sub-epi,ff,1
1.1652842404289756,6.084936303277873,sub-epi,ff,1
1.1733427291045022,6.920756212770172,sub-epi,ff,1
1.1801902643661708,7.658030631682097,sub-epi,ff,1
1.1870259081049537,8.541636846103872,sub-epi,ff,1
1.1942757732242544,9.328018850265906,sub-epi,ff,1
1.2019081489963774,10.407394765527794,sub-epi,ff,1
1.1958375265632395,10.109776373305731,sub-epi,ff,1
1.1833851201814558,8.343554904702655,sub-epi,ff,1
1.2067281796060385,11.094240318868982,sub-epi,ff,1
1.2111339888351813,11.878310082469913,sub-epi,ff,1
1.2151533235705398,12.418163200140931,sub-epi,ff,1
1.2183679985906344,12.859801147311742,sub-epi,ff,1
1.2107752612281302,11.292652580350358,sub-epi,ff,1
1.289956948282886,16.918003545435525,sub-epi,ff,2
1.279938340251704,15.202541262483344,sub-epi,ff,2
1.2763530461016726,14.321577608702832,sub-epi,ff,2
