x,y
1.050811014266413, 0.3180238812845708
1.0618968515017795, 0.6576201297150952
1.0721595681032328, 0.9482853057911171
1.0828641811629416, 1.6337697430697382
1.0923280460435212, 2.1717868268115303
1.0985115628449684, 2.6622211111454455
1.10669423135802, 2.5589658746499424
1.1169690824159928, 2.997772540736104
1.126412723202373, 3.2888871411276632
1.1354630053565762, 3.7777484403571826
1.140405773978894, 4.120715371154262
1.15028322158585, 4.707888239408334
1.158117024473963, 5.345565165121311
1.1659366704961365, 5.810410352489104
1.1700785649881607, 6.376038942616944
1.1791450264177232, 7.062422228526648
1.1870071430377152, 8.045762630929946
1.1923877632994486, 8.734168326259585
1.1998282075553846, 9.569591950810512
1.2064576656339272, 10.504225993017073
1.2126694961672533, 11.34032375404131
1.219696357696813, 12.126591594079962
1.224691708964049, 13.11150498158765
1.2313697048686698, 14.638704983834772
