x,y
1.061617182310433, 0.37718150526379546
1.073356549044868, 0.372833591658452
1.0880235109402363, 0.5007347168823877
1.0997411381066446, 0.8963948549689036
1.1144008534793373, 1.1576319974234615
1.1280750417681515, 1.55256748324242
1.1437057911793715, 1.946778316793818
1.1563872058616318, 2.608748163207796
1.1690613740212163, 3.404054026852396
1.1807645081422735, 4.066386199400151
1.192460395740655, 4.862054389178528
1.2031924958231848, 5.391412870629443
1.2148738903762153, 6.453753094869059
1.2265407918838946, 7.7827653535699195
1.2352873447533164, 8.846192556210877
1.2459977052678195, 9.775559089353653
1.2518202862376457, 10.64006924455001
1.2595849352845268, 11.770526781940058
1.2644328589544878, 12.568731254654885
