x,y
1.2703460214577589, 11.766541194468491
1.2596574005112826, 10.437166609633852
1.251903621248415, 9.106705046397874
1.2402403430020734, 7.711024779081708
1.2295480987942593, 6.4483182028623744
1.217859457718553, 5.519313995853382
1.2071454739427123, 4.656615471325912
1.1944785523058032, 3.727973590450695
1.1778803921173937, 3.1341210571871443
1.1622568892288492, 2.6065742064051243
1.1476189134241832, 1.9453290122587035
1.1339447251353691, 1.5503935264397448
1.123198132007488, 1.2877070794500725
1.108545663157471, 0.8931339197648924
1.0938787012621027, 0.7652327945409532
1.0811827935344913, 0.36993498258821944
1.0626027093943116, 0.24348316189939467
