gen0,gen1,gen2,gen3,gen4,gen5,gen6,gen7,gen8,gen9,gen10,gen11,gen12,gen13,gen14,gen15,gen16,gen17,gen18,gen19,gen20,gen21,gen22,gen23,gen24,gen25,gen26,gen27,gen28,gen29,gen30,gen31,gen32,gen33,gen34,gen35,gen36,gen37,gen38,gen39,gen40,gen41,gen42,gen43,gen44,gen45,gen46,gen47,gen48,gen49
5,3,11,5,5,7,9,11,22,11,6,7,13,7,7,13,11,8,8,13,11,12,17,13,9,13,7,9,9,9,11,6,3,7,15,17,4,7,7,15,15,21,17,15,15,29,17,2,4,4
6,11,7,11,3,7,22,20,22,6,7,9,12,9,7,6,12,12,11,17,11,13,12,11,9,9,9,6,18,3,8,17,5,22,18,19,3,9,8,15,20,21,17,6,17,17,15,8,13,13
4,6,7,11,7,14,10,3,3,15,11,3,7,8,5,12,14,6,11,7,17,11,9,11,5,3,5,18,9,15,5,5,7,5,17,15,6,10,10,17,15,3,19,17,17,16,15,17,9,9
7,6,8,10,9,7,6,5,13,13,3,11,8,6,7,7,13,13,4,8,11,7,12,12,11,3,15,6,7,11,15,11,18,5,7,15,3,4,4,13,17,3,17,2,7,7,29,15,16,16
7,3,4,4,8,8,9,13,13,19,11,11,11,16,7,2,13,13,13,9,19,23,13,18,13,9,9,7,9,17,9,8,19,7,15,7,19,3,3,15,13,22,21,11,15,13,17,15,23,7
4,9,6,8,9,7,5,10,9,11,2,9,18,11,7,7,21,21,8,19,25,3,5,15,11,9,9,7,26,18,5,5,6,18,19,19,6,6,6,7,3,15,21,17,15,13,3,4,14,14
8,7,5,6,4,17,7,9,7,13,13,5,8,11,7,5,11,11,7,2,26,2,13,2,11,5,11,5,7,18,15,5,17,19,19,17,17,3,3,7,7,3,22,19,19,17,7,17,15,15
11,4,7,8,3,7,7,9,10,3,6,15,7,18,9,7,12,4,14,6,4,11,25,7,17,11,13,15,9,13,11,9,5,19,3,3,19,19,19,6,7,29,27,17,18,15,13,3,9,9
7,3,8,5,3,8,3,22,9,3,15,3,9,21,9,7,7,9,6,8,18,9,7,3,19,13,11,5,6,19,17,5,5,6,22,7,5,3,3,13,6,17,9,4,4,17,13,7,7,7
5,5,5,6,6,4,7,10,9,14,2,19,9,21,9,7,7,12,13,11,11,8,21,17,11,11,18,7,18,9,18,15,15,2,17,15,15,17,17,8,13,17,19,21,17,17,17,13,17,17
