gen0,gen1,gen2,gen3,gen4,gen5,gen6,gen7,gen8,gen9,gen10,gen11,gen12,gen13,gen14,gen15,gen16,gen17,gen18,gen19,gen20,gen21,gen22,gen23,gen24,gen25,gen26,gen27,gen28,gen29,gen30,gen31,gen32,gen33,gen34,gen35,gen36,gen37,gen38,gen39,gen40,gen41,gen42,gen43,gen44,gen45,gen46,gen47,gen48,gen49
1.5752715738139405,inf,5.265719188372062e+19,1.9182737784048016,1.4660169293096428,1.6762547025761594,3.6574617751174165,0.03829122341060251,1.679112242993322,1.2042182337289375,0.6410675153212314,0.22708731849175895,5.198890759507515,inf,1.443296522261448,0.49073419282729025,0.7648023848026744,0.23355400661769682,0.23747791380108707,0.035579258664847874,0.36202097074820816,inf,0.22369427709491324,1.9182737784048016,inf,0.035379911400941474,0.8877422804396897,0.04681515440712449,1.602538823676185,0.4953361162830946,0.35976985452264465,1.618130528074558,inf,1.4165377009121585,0.048057722222114976,1.9182737784048016,inf,0.11126833683674416,0.026742277330338047,0.04045050180873416,inf,1.0705013883912406,0.035379911984917536,0.8249082900833756,0.17094662972899607,0.23324856068538707,inf,1.2411213912384016,0.024236447010510438,0.23067638760012285
inf,4.032822497590895,1.4675049458877851,0.33381666329662546,0.6642059456949193,1.9182737784048016,inf,1.4244796973993696,2.200330478412031,0.9515560006289611,inf,0.02857497259464619,1.859777137283669,1.5395970953203,0.22306711278363,1.4534757521277104,0.23067638757540257,0.9422073447016743,inf,inf,inf,1.8115755365618953,1.5395970953203,0.5903717981042943,1.8321126534228285,1.1827877375935605,0.8172863609142589,0.7004322731259115,0.4034114718221031,1.9182737784048016,0.31579216197122617,0.6130720900812346,0.026707254652244758,0.945966594853154,0.026953515683492246,0.2200618547115202,0.3855054663920783,0.2522688151644372,0.5683107220747498,0.09266488338665167,0.25254937716948933,0.1029753098342496,0.030497176614020405,1.9182737784048016,0.3996740426962426,0.7792574276565397,1.3806633329038602,0.23355400661769682,1.9182737784048016,1.731748318835011
1.3321517621118135,0.26547956526640853,1.119261162648942,1.504072756878698,1.504072756878698,0.371682031983256,0.17123159184854722,1.5395970953203,0.18300038464330703,inf,0.5968693336872798,0.03537991140094156,1.4244796948702403,1.8737538820750848,0.12504032051732494,inf,0.16563766700728882,inf,inf,0.15221976709470683,0.02053136361949877,inf,1.0718335736402715,0.6311692234302508,0.4578327959833365,0.026953810491026332,0.188858918237081,0.1811586440552136,0.4595675514535343,0.18235349338664925,0.19335811177638612,inf,inf,0.7004322748428945,0.027015564377338874,1.4172662808513623,0.22880420818344815,1.9182737784048016,1.0642700360221686,1.3005801668862698,inf,0.0274066669601287,inf,0.5684587593392095,0.7705870228098581,0.3590039119033055,0.09841256742755113,0.007481906128373406,1.2114725221145366,0.28617482641522074
1.1833912810475407,1.8401325906400419,1.385388613010699,0.848460484078925,0.447010648359275,0.12983663900617545,0.6856657683348689,1.8321401984538248,0.5046581918047215,1.4580535192899124,0.848459259167294,0.6906893772268136,inf,inf,1.8645740836517524,inf,0.4828027126020751,0.49436025934912187,1.7277681040886204,0.2705547827698404,0.7004322731259115,0.7004322731259115,1.9182737784048016,0.09312493039765364,0.5062502694472506,0.05937991691334539,inf,0.13932991328186378,1.2413117979805492,0.4495379289085547,0.22911368576238328,0.6632591899186673,inf,0.1135437301904811,0.8941696067267056,0.20554606687960797,0.21311696534227825,inf,0.2320013093259089,1.9764401592629828,1.9182737784048016,1.504072756878698,1.786669451449994,inf,0.026826487581203515,3.74006621403488,0.013241072552077453,inf,321.1322441411015,inf
1.6033736986630487,1.9182737784048016,1.1535361383478688,1.9182737784048016,0.23968736292831094,1.119261162648942,1.4096787550480534,1.4868233685453212,4.809722593295115,0.07796797197234188,1.044025859657186,0.11111322488837484,0.4429246629267974,1.9182737784048016,0.14356209692264144,0.29539666005127296,0.12120229484565591,0.7433674494779207,0.21474583705019565,inf,0.24089167894650323,0.5996056337599095,2.472661423598416,0.7004322731259115,0.04448164422613651,0.23355400665791307,1.4409493039452945,1.618130528074558,1.9182737784048016,inf,0.18366351982253043,inf,1.9182737784048016,1.4165377009121585,0.035635544141858155,0.7004322731259115,1.9182737784048016,1.4244796948702403,0.024212222088039043,0.018350694398316686,0.6657977002924276,0.9425762349853378,0.23355400661769682,1.9182737784048016,0.03537991142651936,0.2310200520451039,0.05459844828876807,0.15254741531397842,0.022227244488736312,0.2335540067047545
0.7154790720547342,0.2306763875754027,1.4244796948702403,1.4246475937812197,0.9254056063219379,0.6333245583022848,1.786669451449994,1.8437516756783732,0.23346210871444412,0.21490432084397149,0.8984630381129249,inf,0.06852056338722749,inf,inf,1.4580535192899124,0.026953314472569434,1.2676675740197587,0.23067638757540257,0.8973978267985255,0.17161091726986658,0.0572150561102992,18.190527499439128,inf,0.23137652966900044,inf,0.22294137390215904,inf,0.15702255754338473,0.04394922860556815,0.02222724473985693,0.23355400661769682,inf,0.5797109795106302,0.01109003898763599,inf,1.119261162648942,0.02402453404335792,0.23355561122690738,0.3654292046655789,0.4138426412366507,0.4108877884709502,inf,inf,0.9358680440856421,0.8245435335240927,0.5698415867991569,0.13064517358320496,0.07131248357198092,0.07976291910888704
1.3806633330940294,1.8971975651223092,1.2526387985041334,1.4244796948702403,1.1703498037958497,0.2238916896616765,0.026790717068103587,1.4816555129674434,1.641559190698223,0.026953810852744543,1.618130528074558,1.9182737784048016,0.23355400661769682,inf,1.6993705533944532,1.9182737784048016,0.8343478880616395,0.6374355292923508,1.9182737784048016,1.2594032475880337,1.6993705533944532,0.04490753189163174,0.21545399467024634,1.3886756567847445,0.035379911431600394,0.2294776508143227,0.8205977249739221,0.026709197411812435,0.23355400661769682,inf,0.059379916855069055,0.03537991140094156,1.831713720082123,0.0628292827829276,0.23355400661769682,0.018673607796611005,0.24688091511376403,1.4244796948702403,0.23355400670439347,0.9770913278248945,inf,0.41148916687956694,inf,1.6994010738515786,0.03539898578063054,0.663259189383845,0.06795263109030682,0.013241072580150084,0.16986480554826855,0.7004322750535942
inf,1.7223208499207183,inf,0.2306763885205979,0.6741529966286766,inf,1.9182737784048016,inf,0.4123379064375531,1.9182737784048016,0.38224863901050976,0.6665276323424436,inf,1.1206064895199,15.190371741804993,1.6506878067196469,0.22839245104553507,0.4943602570579204,1.2449847442076856,1.4614559075555404,1.9182737784048016,0.05937991693989493,0.026306888808272536,0.3197425825645506,0.025491073638230083,inf,inf,0.049998621537734975,0.3920557269410998,0.012335558315984124,1.504072756878698,inf,1.9170571304195931,0.7825495796872934,0.6352020488211952,4.8278238551014105,0.10125224215471561,0.5419200000776052,0.20663819001123557,0.035378168503716126,1.804092592057699,0.23687852003082926,0.15675095539721912,0.45112163468514,0.11491291608778306,inf,inf,1.6181305280745581,0.7004322745893884,1.1976823743608496
inf,1.1794388764834052,3.0895332597596616,0.22306476687100327,0.6309383084402681,0.2692924084498268,0.3765230943762494,0.22306476687100327,0.2404801727915713,0.4282417898130989,0.03492794820787161,0.035018496052424214,1.2166108338830324,0.035379911430075996,0.4189325550488888,0.6919753210620756,0.23355400665791307,0.7696911564439809,0.6741529967921926,1.5273310179566264,0.38574299951633595,0.07984167612965938,0.07984167612965938,inf,0.12153692926393554,1.9182737784048016,0.5938800969761089,5.791574283624601,1.8543834414206666,inf,inf,0.20612100856970988,0.5083218376764432,1.9182737784048016,4.032822497590895,0.06040498012443578,0.38535811956169996,inf,1.0125334833750623,0.7913274452458493,0.02375117142652046,1.3806633343906127,1.8593724310434279,1.1448328319090217,0.07837255591505475,4.273799507445508,0.18426153064517142,1.504072756878698,inf,0.011805755613708249
inf,inf,0.39980051451491394,1.5234555391511566,1.0468513995734594,inf,1.8463323786537507,0.23346210871444412,1.9182737784048016,0.18908858704855858,1.9182737784048016,20.291571084009437,inf,0.5681431437198982,0.9311963244762824,0.03537991154427194,0.7191478527626417,0.21124501975810397,0.7725304901954154,0.11641617357285082,0.5032138904263089,1.429123274476441,0.23005696486437827,0.30644173020384136,0.23355400665791307,0.05065572904382584,0.025373694591562596,0.34700844620289056,1.618130528074558,0.7004322731259115,0.6793896265747926,0.2618455491222372,0.7004322731259115,0.016837966770110017,0.027015564376537668,0.8280766281537079,1.161760106559966,0.24715789606238048,inf,0.1827385423907097,0.23354240485772476,0.012470737569585891,0.032464735477113565,0.5553838995603467,0.24677919665768305,1.625293096424625,0.011697205058974262,0.06075043822364279,inf,0.8205977273634136
