gen0,gen1,gen2,gen3,gen4,gen5,gen6,gen7,gen8,gen9,gen10,gen11,gen12,gen13,gen14,gen15,gen16,gen17,gen18,gen19,gen20,gen21,gen22,gen23,gen24,gen25,gen26,gen27,gen28,gen29,gen30,gen31,gen32,gen33,gen34,gen35,gen36,gen37,gen38,gen39,gen40,gen41,gen42,gen43,gen44,gen45,gen46,gen47,gen48,gen49
['(sp.exp(((I1-3)**2+p1)))'],['((p1*(p2+(I1-3)**2))+(I4f-1)**2)'],['(((I4f-1)**2+p1)*((I1-3)**2*p2))'],['(((I4f-1)**2+p1)*((I1-3)**2*p2))'],['(((I4f-1)**2+p1)*(p2*(p3+(I1-3)**2)))'],['(((I4f-1)**2+p1)*(p2*(p3+(I1-3)**2)))'],['(((I4f-1)**2+p1)*(p2*(p3+(I1-3)**2)))'],['(((I4f-1)**2+p1)*(p2*(p3+(I1-3)**2)))'],['(((I4f-1)**2+p1)*(p2*(p3+(I1-3)**2)))'],['(((I4f-1)**2+p1)*(p2*(p3+(I1-3)**2)))'],['(((I4f-1)**2+p1)*(p2*(p3+(I1-3)**2)))'],['((p1+((I4f-1)**2*p2))*((I1-3)**2+p3))'],['((p1+((I4f-1)**2*p2))*((I1-3)**2+p3))'],['((p1+((I4f-1)**2*p2))*((I1-3)**2+p3))'],['((p1+((I4f-1)**2*p2))*((I1-3)**2+p3))'],['((p1+((I4f-1)**2*p2))*((I1-3)**2+p3))'],['((p1+((I4f-1)**2*p2))*((I1-3)**2+p3))'],['((p1+((I4f-1)**2*p2))*((I1-3)**2+p3))'],['((p1+((I4f-1)**2*p2))*((I1-3)**2+p3))'],['(((I4f-1)**2+(p1+(I8fs)**2))*(((I1-3)**2*p2)+(p3*((I4f-1)**2*(I4f-1)**2))))'],['(((I4f-1)**2+(p1+(I8fs)**2))*(((I1-3)**2*p2)+(p3*((I4f-1)**2*(I4f-1)**2))))'],['(((I4f-1)**2+p1)*((p2+(I5n-1)**2)+(((I5s-1)**2*p3)+(p4*(I1-3)**2))))'],['((((I4f-1)**2*p1)+p2)*((p3+(I5n-1)**2)+(((I5s-1)**2*p4)+(p5*(I1-3)**2))))'],['((((I4f-1)**2*p1)+p2)*((p3+(I5n-1)**2)+(((I5s-1)**2*p4)+(p5*(I1-3)**2))))'],['((((I4f-1)**2*p1)+p2)*((p3+(I5n-1)**2)+(((I5s-1)**2*p4)+(p5*(I1-3)**2))))'],['((((I4f-1)**2*p1)+p2)*((p3+(I5n-1)**2)+(((I5s-1)**2*p4)+(p5*(I1-3)**2))))'],['((((I4f-1)**2*p1)+p2)*((p3+(I5n-1)**2)+(((I5s-1)**2*p4)+(p5*(I1-3)**2))))'],['((((I4f-1)**2*p1)+p2)*((p3+(I5n-1)**2)+(((I5s-1)**2*p4)+(p5*(I1-3)**2))))'],['(p1*((((p2*(I4f-1)**2)+p3)+(I5s-1)**2)*(p4+(I1-3)**2)))'],['(p1*((((p2*(I4f-1)**2)+p3)+(I5s-1)**2)*(p4+(I1-3)**2)))'],['(p1*((((p2*(I4f-1)**2)+p3)+(I5s-1)**2)*(p4+(I1-3)**2)))'],['(p1*((((p2*(I4f-1)**2)+p3)+(I5s-1)**2)*(p4+(I1-3)**2)))'],['(((I4f-1)**2+p1)*(((I5n-1)**2*p2)+(((I5s-1)**2*p3)+(((I4f-1)**2*p4)+p5))))'],['(((I4f-1)**2+p1)*(((I5n-1)**2*p2)+(((I5s-1)**2*p3)+(((I4f-1)**2*p4)+p5))))'],['(((I4f-1)**2+p1)*(((I5n-1)**2*p2)+(((I5s-1)**2*p3)+(((I4f-1)**2*p4)+p5))))'],['(((I4f-1)**2+p1)*(((I5n-1)**2*p2)+(((I5s-1)**2*p3)+(((I4f-1)**2*p4)+p5))))'],['(((I4f-1)**2+p1)*(((I5n-1)**2*p2)+(((I5s-1)**2*p3)+(((I4f-1)**2*p4)+p5))))'],['(((I4f-1)**2+p1)*(((I5n-1)**2*p2)+(((I5s-1)**2*p3)+(((I4f-1)**2*p4)+p5))))'],['(((I4f-1)**2+p1)*(((I5n-1)**2*p2)+(((I5s-1)**2*p3)+(((I4f-1)**2*p4)+p5))))'],['(((I4f-1)**2+p1)*(((I5n-1)**2*p2)+(((I5s-1)**2*p3)+(((I4f-1)**2*p4)+p5))))'],['(((I4f-1)**2+p1)*(((I5n-1)**2*p2)+(((I5s-1)**2*p3)+(((I4f-1)**2*p4)+p5))))'],['(((I4f-1)**2+p1)*(((I5n-1)**2*p2)+(((I5s-1)**2*p3)+(((I4f-1)**2*p4)+p5))))'],['(p1*(((p2*(I4f-1)**2)+((p3*(I5s-1)**2)+p4))*(((I8fs)**2+p5)+((I1-3)**2*p6))))'],['(p1*(((p2*(I4f-1)**2)+((p3*(I5s-1)**2)+p4))*(((I8fs)**2+p5)+((I1-3)**2*p6))))'],['((((p1+(I4f-1)**2)*((I5f-1)**2*p2))+p3)*(((I5s-1)**2*p4)+(p5+(I1-3)**2)))'],['((((p1+(I4f-1)**2)*((I5f-1)**2*p2))+p3)*(((I5s-1)**2*p4)+(p5+(I1-3)**2)))'],['((((p1+(I4f-1)**2)*((I5f-1)**2*p2))+p3)*(((I5s-1)**2*p4)+(p5+(I1-3)**2)))'],['((((p1+(I4f-1)**2)*((I5f-1)**2*p2))+p3)*(((I5s-1)**2*p4)+(p5+(I1-3)**2)))'],['((((p1+(I4f-1)**2)*((I5f-1)**2*p2))+p3)*(((I5s-1)**2*p4)+(p5+(I1-3)**2)))'],['((((p1+(I4f-1)**2)*((I5f-1)**2*p2))+p3)*(((I5s-1)**2*p4)+(p5+(I1-3)**2)))']
['(p1*(I1-3)**2)'],['((sp.exp((p1+(I1-3)**2)))+(p2+(((I4n-1)**2+(I4f-1)**2)*(I4f-1)**2)))'],['(((I4f-1)**2+p1)*(p2*(I1-3)**2))'],['(((I4f-1)**2+p1)*(p2*(I1-3)**2))'],['(((I4f-1)**2+p1)*((I1-3)**2*p2))'],['(((p1+(I4f-1)**2)+p2)*((I1-3)**2*p3))'],['(((I4f-1)**2+p1)*((sp.exp((p2*(I1-3)**2)))*(p3+(I1-3)**2)))'],['(((I4f-1)**2+p1)*((sp.exp((p2*(I1-3)**2)))*(p3+(I1-3)**2)))'],['(((I4f-1)**2+p1)*((sp.exp((p2*(I1-3)**2)))*(p3+(I1-3)**2)))'],['(((I4f-1)**2+p1)*((I1-3)**2*p2))'],['(sp.exp((((I8fn)**2+(p1+(I8ns)**2))*p2)))'],['(((I4f-1)**2+p1)*(p2*(p3+(I1-3)**2)))'],['(sp.exp((I4s-1)**2))'],['(((I4f-1)**2+(p1+(I5f-1)**2))*(p2+(p3*(I1-3)**2)))'],['(((I4f-1)**2+(p1+(I5f-1)**2))*(p2+(p3*(I1-3)**2)))'],['(((I4f-1)**2+p1)*(p2*(p3+(I1-3)**2)))'],['(((I4f-1)**2+p1)*(p2*(p3+(I1-3)**2)))'],['(((I4f-1)**2+p1)*(p2*(p3+(I1-3)**2)))'],['(((I4f-1)**2+p1)*(p2*(p3+(I1-3)**2)))'],['(((I4f-1)**2+(p1+((I4f-1)**2+(I8fs)**2)))*(((I1-3)**2*p2)+(p3*(I4f-1)**2)))'],['(((I4f-1)**2+(p1+((I4f-1)**2+(I8fs)**2)))*(((I1-3)**2*p2)+(p3*(I4f-1)**2)))'],['(((I4f-1)**2+(p1+(I8fs)**2))*(((I1-3)**2*p2)+(p3*((I4f-1)**2*(I4f-1)**2))))'],['(((I4f-1)**2+p1)*((p2+(I5n-1)**2)+(((I5s-1)**2*p3)+(p4*(I1-3)**2))))'],['(((I4f-1)**2+p1)*((p2+(I5n-1)**2)+(((I5s-1)**2*p3)+(p4*(I1-3)**2))))'],['(((I4f-1)**2+p1)*((p2+(I5n-1)**2)+(((I5s-1)**2*p3)+(p4*(I1-3)**2))))'],['(((I4f-1)**2+p1)*((p2+(I5n-1)**2)+(((I5s-1)**2*p3)+(p4*(I1-3)**2))))'],['(p1*((((p2*(I4f-1)**2)+p3)+((I5s-1)**2+p4))*(p5+(I1-3)**2)))'],['(p1*((((p2*(I4f-1)**2)+p3)+((I5s-1)**2+p4))*(p5+(I1-3)**2)))'],['((((I4f-1)**2*p1)+p2)*((p3+(I5n-1)**2)+(((I5s-1)**2*p4)+(p5*(I1-3)**2))))'],['((((I4f-1)**2*p1)+p2)*((p3+(I5n-1)**2)+(((I5s-1)**2*p4)+(p5*(I1-3)**2))))'],['((((I4f-1)**2+p1)*p2)*((p3+(I5n-1)**2)+(((I5s-1)**2*(p4+(I4n-1)**2))+(p5*(I1-3)**2))))'],['((((I4f-1)**2*p1)+p2)*(((I5n-1)**2*p3)+(((I5s-1)**2*p4)+(((I4f-1)**2*p5)+p6))))'],['(p1*((((p2*(I4f-1)**2)+p3)+(I5s-1)**2)*(p4+(I1-3)**2)))'],['(p1*((((p2*(I4f-1)**2)+p3)+(I5s-1)**2)*(p4+(I1-3)**2)))'],['(p1*((((p2*(I4f-1)**2)+p3)+(I5s-1)**2)*(p4+(I1-3)**2)))'],['((((p1+(I4f-1)**2)*p2)+p3)*(((I5s-1)**2*p4)+(p5+(I1-3)**2)))'],['(((p1*(I4f-1)**2)+((p2+(I8fs)**2)+(I4f-1)**2))*(p3+((I1-3)**2*p4)))'],['(((p1*(I4f-1)**2)+((p2+(I8fs)**2)+(I4f-1)**2))*(p3+((I1-3)**2*p4)))'],['((((I4f-1)**2*p1)+p2)*(p3+(((I5s-1)**2*p4)+(p5*(I1-3)**2))))'],['((((I4f-1)**2*p1)+p2)*(p3+(((I5s-1)**2*p4)+(p5*(I1-3)**2))))'],['(sp.exp(((I4s-1)**2+((I5f-1)**2+((I1-3)**2+(I2-3)**2)))))'],['(sp.exp(((I4s-1)**2+((I5f-1)**2+((I1-3)**2+(I2-3)**2)))))'],['(((I4f-1)**2+p1)*(((I5n-1)**2*p2)+(((I5s-1)**2*p3)+(((I4f-1)**2*p4)+p5))))'],['(((I4f-1)**2+p1)*(((I5n-1)**2*p2)+(((I5s-1)**2*p3)+(((I4f-1)**2*p4)+p5))))'],['(p1*(((p2*(I4f-1)**2)+((p3*(I5s-1)**2)+p4))*(((I8fs)**2+p5)+((I1-3)**2*p6))))'],['(p1*(((p2*(I4f-1)**2)+((p3*(I5s-1)**2)+p4))*(((I8fs)**2+p5)+((I1-3)**2*p6))))'],['((((I4f-1)**2*p1)+p2)*(((I5s-1)**2*p3)+(p4+(I1-3)**2)))'],['((((I4f-1)**2*p1)+p2)*(((I5s-1)**2*p3)+(p4+(I1-3)**2)))'],['((((I4f-1)**2*p1)+p2)*(((I5s-1)**2*p3)+(p4+(I1-3)**2)))'],['((((I4f-1)**2*p1)+p2)*(((I5s-1)**2*p3)+(p4+(I1-3)**2)))']
['((I1-3)**2*p1)'],['(sp.exp(((I1-3)**2+p1)))'],['((sp.exp((((I1-3)**2*p1)+((I4f-1)**2+p2))))*p3)'],['(((p1+(I4f-1)**2)+p2)*((I1-3)**2*p3))'],['(((I4f-1)**2+p1)*(p2*(I1-3)**2))'],['(p1*((I8fs)**2*p2))'],['(((I4f-1)**2+p1)*((I1-3)**2*p2))'],['(((I4f-1)**2+p1)*(p2*(I1-3)**2))'],['((p1+(I4f-1)**2)*((I1-3)**2*p2))'],['(((p1*(sp.exp((I5s-1)**2)))*(I1-3)**2)*(p2+(((I5f-1)**2+(I4f-1)**2)*((I4s-1)**2+(I4f-1)**2))))'],['(((I4f-1)**2+p1)*((I1-3)**2*p2))'],['((p1+(I4f-1)**2)*(p2*(I1-3)**2))'],['(((I4f-1)**2+p1)*(p2*(p3+(I1-3)**2)))'],['(sp.exp((I4s-1)**2))'],['(sp.exp((I4f-1)**2))'],['(((I1-3)**2+(I4n-1)**2)*((I5f-1)**2*(sp.exp((I4n-1)**2))))'],['(((I1-3)**2+(I4n-1)**2)*((I5f-1)**2*(sp.exp((I4n-1)**2))))'],['(((I4f-1)**2+(p1+(I5f-1)**2))*(p2+(p3*(I1-3)**2)))'],['(((I4f-1)**2+(p1+(I5f-1)**2))*(p2+(p3*(I1-3)**2)))'],['((p1+((I4f-1)**2*p2))*((I1-3)**2+p3))'],['((p1+((I4f-1)**2*p2))*((I1-3)**2+p3))'],['(((I4f-1)**2+(p1+((I4f-1)**2+(I8fs)**2)))*(((I1-3)**2*p2)+(p3*(I4f-1)**2)))'],['(((I4f-1)**2+(p1+(I8fs)**2))*(((I1-3)**2*p2)+(p3*((I4f-1)**2*(I4f-1)**2))))'],['(((I4f-1)**2+(p1+(I8fs)**2))*(((I1-3)**2*p2)+(p3*((I4f-1)**2*(I4f-1)**2))))'],['(((I4f-1)**2+(p1+(I8fs)**2))*(((I1-3)**2*p2)+(p3*((I4f-1)**2*(I4f-1)**2))))'],['(p1*((((p2*(I4f-1)**2)+p3)+(I5s-1)**2)*(p4+(p5+(I1-3)**2))))'],['(p1*(sp.exp((p2+((I8ns)**2*(I8ns)**2)))))'],['(((p1+((sp.exp((I1-3)**2))+p2))*((I4f-1)**2*((I4f-1)**2+(I4f-1)**2)))+(((p3*(I1-3)**2)+(p4*(I8fs)**2))*p5))'],['((((I4f-1)**2*p1)+p2)*(((I5n-1)**2*p3)+(((I5s-1)**2*p4)+(((I4f-1)**2*p5)+p6))))'],['(((I4f-1)**2+p1)*((p2+(I5n-1)**2)+(((I5s-1)**2*p3)+(p4*(I1-3)**2))))'],['((I4s-1)**2+((I8fn)**2*((I1-3)**2*p1)))'],['((((I4f-1)**2+p1)*p2)*((p3+(I5n-1)**2)+(((I5s-1)**2*(p4+(I4n-1)**2))+(p5*(I1-3)**2))))'],['((((I4f-1)**2*p1)+p2)*(((I5n-1)**2*p3)+(((I5s-1)**2*p4)+(((I4f-1)**2*p5)+p6))))'],['(p1*((((p2*(I4f-1)**2)+(I4s-1)**2)+p3)*(p4+(I1-3)**2)))'],['(((I2-3)**2+(I8fs)**2)*((I5s-1)**2+p1))'],['(((p1*(I4f-1)**2)+((p2+(I8fs)**2)+(I4f-1)**2))*(p3+((I1-3)**2*p4)))'],['((I2-3)**2+(p1+((I8fn)**2*(I2-3)**2)))'],['((I2-3)**2+(p1+((I8fn)**2*(I2-3)**2)))'],['((((p1+(I4f-1)**2)*p2)+p3)*(((I5s-1)**2*p4)+(p5+(I1-3)**2)))'],['((((p1+(I4f-1)**2)*p2)+p3)*(((I5s-1)**2*p4)+(p5+(I1-3)**2)))'],['((((I4f-1)**2*p1)+p2)*(p3+(((I5s-1)**2*p4)+(p5*(I1-3)**2))))'],['((((I4f-1)**2*p1)+p2)*(p3+(((I5s-1)**2*p4)+(p5*(I1-3)**2))))'],['(sp.exp(((I4s-1)**2+((I5f-1)**2+((I1-3)**2+(I2-3)**2)))))'],['(sp.exp(((I4s-1)**2+((I5f-1)**2+((I1-3)**2+(I2-3)**2)))))'],['(((I4f-1)**2+p1)*(((I5n-1)**2*p2)+(((I5s-1)**2*p3)+(((I4f-1)**2*p4)+p5))))'],['((((p1+(I4f-1)**2)*p2)+p3)*(((I5s-1)**2*p4)+(p5+(I1-3)**2)))'],['(p1*(((p2*(I4f-1)**2)+((p3*(I5s-1)**2)+p4))*(((I8fs)**2+p5)+((I1-3)**2*p6))))'],['((((I4f-1)**2*p1)+p2)*(p3+((I5s-1)**2+(p4*(I1-3)**2))))'],['((((I4f-1)**2*p1)+p2)*(p3+((I5s-1)**2+(p4*(I1-3)**2))))'],['((((I4f-1)**2*p1)+p2)*(p3+((I5s-1)**2+(p4*(I1-3)**2))))']
['(sp.exp((p1+(p2+(I1-3)**2))))'],['(p1*(I1-3)**2)'],['((p1*(p2+(I1-3)**2))+(I4f-1)**2)'],['((sp.exp((((I1-3)**2*p1)+((I4f-1)**2+p2))))*p3)'],['(((p1+(I4f-1)**2)+p2)*((I1-3)**2*p3))'],['(((I4f-1)**2+p1)*((I1-3)**2*p2))'],['(((p1+(I4f-1)**2)+p2)*((I1-3)**2*p3))'],['(((I4f-1)**2+p1)*((I1-3)**2*p2))'],['(((I4f-1)**2+p1)*(p2*(I1-3)**2))'],['((I5n-1)**2*(I4f-1)**2)'],['(((p1*(sp.exp((I5s-1)**2)))*(I1-3)**2)*(p2+(((I5f-1)**2+(I4f-1)**2)*((I4s-1)**2+(I4f-1)**2))))'],['(((I4f-1)**2*((((I4f-1)**2*p1)+p2)*((sp.exp((I1-3)**2))*p3)))+((I1-3)**2*p4))'],['(((I4f-1)**2+p1)*((((I4f-1)**2*p2)+(I1-3)**2)*p3))'],['(((I4f-1)**2+p1)*(p2*(p3+(I1-3)**2)))'],['(sp.exp((I4s-1)**2))'],['(((I4f-1)**2+(p1+(I5f-1)**2))*(p2+(p3*(I1-3)**2)))'],['(((I4f-1)**2+(p1+(I5f-1)**2))*(p2+(p3*(I1-3)**2)))'],['(((I4f-1)**2+(p1+(I8fs)**2))*(((I1-3)**2*p2)+(p3*(I4f-1)**2)))'],['(((I4f-1)**2+(p1+(I8fs)**2))*(((I1-3)**2*p2)+(p3*(I4f-1)**2)))'],['(((I4f-1)**2+p1)*(p2*(p3+(I1-3)**2)))'],['(((I4f-1)**2+p1)*(p2*(p3+(I1-3)**2)))'],['((p1+((I4f-1)**2*p2))*((I1-3)**2+p3))'],['(p1*((((p2*(I4f-1)**2)+(sp.exp((sp.exp((I1-3)**2)))))+(I5s-1)**2)*(p3+(I1-3)**2)))'],['(((I4f-1)**2+(p1+(p2*(I8fs)**2)))*((I1-3)**2*p3))'],['(((I4f-1)**2+(p1+(p2*(I8fs)**2)))*((I1-3)**2*p3))'],['(((I4f-1)**2+(p1+(((I4f-1)**2*(p2+(I5s-1)**2))+(I8fs)**2)))*(((I1-3)**2*p3)+(p4*(I4f-1)**2)))'],['(((I4f-1)**2+p1)*((p2+(I5n-1)**2)+(((I5s-1)**2*p3)+(p4*(I1-3)**2))))'],['(p1*(sp.exp((p2+((I8ns)**2*(I8ns)**2)))))'],['(p1*((((p2*(I4f-1)**2)+p3)+((I5s-1)**2+p4))*(p5+(I1-3)**2)))'],['(p1*(I4n-1)**2)'],['((((I4f-1)**2*p1)+p2)*((p3+(I5n-1)**2)+(((I5s-1)**2*p4)+(p5*(I1-3)**2))))'],['((I4s-1)**2+((I8fn)**2*((I1-3)**2*p1)))'],['(p1*((((p2*(I4f-1)**2)+p3)+((I5s-1)**2+p4))*(p5+(I1-3)**2)))'],['((((I4f-1)**2*p1)+p2)*(((I5n-1)**2*p3)+(((I5s-1)**2*p4)+(((I4f-1)**2*p5)+p6))))'],['(p1*((((p2*(I4f-1)**2)+(I4s-1)**2)+p3)*(p4+(I1-3)**2)))'],['(p1*((((p2*(I4f-1)**2)+p3)+(I5s-1)**2)*(p4+(I1-3)**2)))'],['((((p1+(I4f-1)**2)*p2)+p3)*(((I5s-1)**2*p4)+(p5+(I1-3)**2)))'],['((((p1+(I4f-1)**2)*p2)+p3)*(((I5s-1)**2*p4)+(p5+(I1-3)**2)))'],['(((p1*(I4f-1)**2)+((p2+(I8fs)**2)+(I4f-1)**2))*(p3+((I1-3)**2*p4)))'],['(((p1*(I4f-1)**2)+((p2+(I8fs)**2)+(I4f-1)**2))*(p3+((I1-3)**2*p4)))'],['((((p1+(I4f-1)**2)*p2)+p3)*(((I5s-1)**2*p4)+(p5+(I1-3)**2)))'],['((((p1+(I4f-1)**2)*p2)+p3)*(((I5s-1)**2*p4)+(p5+(I1-3)**2)))'],['((((I4f-1)**2*p1)+p2)*(p3+(((I5s-1)**2*p4)+(p5*(I1-3)**2))))'],['((((I4f-1)**2*p1)+p2)*(p3+(((I5s-1)**2*p4)+(p5*(I1-3)**2))))'],['(sp.exp(((I4s-1)**2+((I5f-1)**2+((I1-3)**2+(I2-3)**2)))))'],['((p1+(I2-3)**2)+((I4n-1)**2*(I8fs)**2))'],['((((p1+(I4f-1)**2)*p2)+p3)*(((I5s-1)**2*p4)+(p5+(I1-3)**2)))'],['((sp.exp((p1*(I5n-1)**2)))+((p2*(I1-3)**2)*p3))'],['(sp.exp((I8ns)**2))'],['(sp.exp((I8ns)**2))']
['((I1-3)**2+(p1*(I1-3)**2))'],['(sp.exp((p1+((I1-3)**2+p2))))'],['((sp.exp((p1+(I1-3)**2)))+(p2+(((I4n-1)**2+(I4f-1)**2)*(I4f-1)**2)))'],['((((p1+(I5f-1)**2)+(I8ns)**2)*(I8fs)**2)+(p2*(I1-3)**2))'],['((p1*(I1-3)**2)*(p2+(((I5f-1)**2+(I4f-1)**2)*((I4s-1)**2+(I4f-1)**2))))'],['(((I4f-1)**2+p1)*(p2*(I1-3)**2))'],['((((I5f-1)**2+(p1+(I4s-1)**2))*p2)+((p3*(I1-3)**2)+p4))'],['(((p1+(I4f-1)**2)+p2)*((I1-3)**2*p3))'],['(((p1+(I4f-1)**2)+p2)*(p3*(I1-3)**2))'],['(((I4f-1)**2+p1)*((sp.exp((p2*(I1-3)**2)))*(p3+(I1-3)**2)))'],['((I5n-1)**2*(I4f-1)**2)'],['(p1*(sp.exp((sp.exp((I4f-1)**2)))))'],['(((I4f-1)**2+p1)*((p2*(I1-3)**2)+((I1-3)**2+p3)))'],['(((I4f-1)**2+p1)*((((I4f-1)**2*p2)+(I1-3)**2)*p3))'],['(((I4f-1)**2+p1)*(p2*(p3+(I1-3)**2)))'],['((((p1+((I4f-1)**2+p2))*(p3*(I4f-1)**2))+p4)+(((p5*(I1-3)**2)+(I8fs)**2)*p6))'],['((((p1+((I4f-1)**2+p2))*(p3*(I4f-1)**2))+p4)+(((p5*(I1-3)**2)+(I8fs)**2)*p6))'],['(p1*(((p2*(I4f-1)**2)+(I1-3)**2)*(p3+(I4f-1)**2)))'],['(((I1-3)**2+p1)*((((I4f-1)**2*p2)+(sp.exp((I1-3)**2)))*p3))'],['(((I4f-1)**2+(p1+(I5f-1)**2))*(p2+(p3*(I1-3)**2)))'],['(((I4f-1)**2+(p1+(I5f-1)**2))*(p2+(p3*(I1-3)**2)))'],['(p1*((p2+(I1-3)**2)*(p3+(I4f-1)**2)))'],['(((I4f-1)**2+(p1+((I4f-1)**2+(I8fs)**2)))*(((I1-3)**2*p2)+(p3*(I4f-1)**2)))'],['(p1*((((p2*(I4f-1)**2)+(sp.exp((sp.exp((I1-3)**2)))))+(I5s-1)**2)*(p3+(I1-3)**2)))'],['(p1*((((p2*(I4f-1)**2)+(sp.exp((p3+(I1-3)**2))))+(I5s-1)**2)*(p4+(p5+(I1-3)**2))))'],['(((I4f-1)**2+(p1+(I8fs)**2))*(((I1-3)**2*p2)+(p3*((I4f-1)**2*(I4f-1)**2))))'],['(p1*((((p2*(I4f-1)**2)+p3)+(I5s-1)**2)*(p4+(p5+(I1-3)**2))))'],['(((I4f-1)**2+p1)*((p2+(I5n-1)**2)+(((I5s-1)**2*p3)+(p4*(I1-3)**2))))'],['((((I4f-1)**2*p1)+p2)*(((I5n-1)**2*p3)+(((I5s-1)**2*p4)+(sp.exp(((I1-3)**2*p5))))))'],['((((I4f-1)**2*p1)+p2)*(((I5n-1)**2*p3)+(((I5s-1)**2*p4)+(((I4f-1)**2*p5)+p6))))'],['(((I4f-1)**2+p1)*((p2+(I5n-1)**2)+(((I5s-1)**2*p3)+(p4*(I1-3)**2))))'],['((((I4f-1)**2*p1)+p2)*((p3+(I5n-1)**2)+(((I5s-1)**2*p4)+(p5*(I1-3)**2))))'],['((((I4f-1)**2+p1)*p2)*((p3+(I5n-1)**2)+(((I5s-1)**2*(p4+(I4n-1)**2))+(p5*(I1-3)**2))))'],['(p1*(((p2*(I4f-1)**2)+((p3+(I8fs)**2)+p4))*(p5+((I1-3)**2*p6))))'],['(p1*(sp.exp((I5n-1)**2)))'],['(p1*((((I1-3)**2+p2)+(I5n-1)**2)+(p3*((I1-3)**2*(p4*(I4s-1)**2)))))'],['((sp.exp((I4f-1)**2))*((I8fn)**2*(I4s-1)**2))'],['((sp.exp((I4f-1)**2))*((I8fn)**2*(I4s-1)**2))'],['((((I4f-1)**2*(p1+(I8fs)**2))+p2)*(((I5s-1)**2*p3)+(p4+((I1-3)**2*p5))))'],['((((I4f-1)**2*(p1+(I8fs)**2))+p2)*(((I5s-1)**2*p3)+(p4+((I1-3)**2*p5))))'],['(((p1*(I4f-1)**2)+((p2+(I8fs)**2)+(I4f-1)**2))*(p3+((I1-3)**2*p4)))'],['(((p1*(I4f-1)**2)+((p2+(I8fs)**2)+(I4f-1)**2))*(p3+((I1-3)**2*p4)))'],['((((p1+(I4f-1)**2)*p2)+p3)*(((I5s-1)**2*p4)+(p5+(I1-3)**2)))'],['((((p1+(I4f-1)**2)*p2)+p3)*(((I5s-1)**2*p4)+(p5+(I1-3)**2)))'],['((((I4f-1)**2*p1)+p2)*(p3+(((I5s-1)**2*p4)+(p5*(I1-3)**2))))'],['(((I4f-1)**2+p1)*(((I5n-1)**2*p2)+(((I5s-1)**2*p3)+(((I4f-1)**2*p4)+p5))))'],['(p1*(I5f-1)**2)'],['(p1*(((p2*(I4f-1)**2)+((p3*(I5s-1)**2)+p4))*(((I8fs)**2+p5)+((I1-3)**2*p6))))'],['(p1*(((p2*(I4f-1)**2)+((p3*(I5s-1)**2)+p4))*(((I8fs)**2+p5)+((I1-3)**2*p6))))'],['(p1*(((p2*(I4f-1)**2)+((p3*(I5s-1)**2)+p4))*(((I8fs)**2+p5)+((I1-3)**2*p6))))']
