,x,y
0,0.0602238805970149,0.482039397450734
1,0.0626865671641791,0.7879490150637167
2,0.0647014925373134,1.01969872537658
3,0.0678358208955224,1.2792584009269898
4,0.0698507462686567,1.6778679026651062
5,0.0723134328358208,2.1135573580532903
6,0.0736567164179104,2.419466975666268
7,0.0774626865671642,3.040556199304742
8,0.0785820895522388,3.6894553881807575
9,0.0794776119402985,4.2363847045191125
10,0.0810447761194029,4.338354577056771
11,0.0823880597014925,5.089223638470446
12,0.0835074626865671,5.385863267670911
